"liv"	"die"	"rea"	"des"	"pas"	"dur"	"fre"	"att"	"con"	"det"	"cry"	"pla"	"met"	"cou"	"exp"	"pre"	"not"	"arr"	"cea"	"rep"
"1"	2	2	2	2	1	1	1	1	1	2	2	2	2	1	1	2	0	0	0	1
"2"	1	2	1	1	0	1	0	1	1	1	1	0	0	2	1	1	0	0	1	1
"3"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	0	1
"4"	0	0	0	2	1	1	2	2	1	2	2	1	2	2	2	2	1	1	1	1
"5"	2	2	2	2	1	2	2	2	1	2	2	1	2	1	0	0	1	0	2	1
"6"	2	2	2	2	2	1	1	2	2	1	1	1	1	1	2	0	2	0	2	1
"7"	2	2	2	2	NA	2	2	2	1	2	2	1	2	1	1	1	0	0	0	1
"8"	1	1	2	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1
"9"	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	0	0	0	2	1
"10"	2	2	2	2	1	1	1	2	1	2	2	1	2	0	2	2	0	0	1	1
"11"	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	0	0	0	1	1
"12"	1	2	2	2	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1
"13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"14"	1	2	2	2	1	2	2	1	1	1	2	1	0	1	1	1	1	0	1	1
"15"	2	2	1	2	1	2	1	1	2	1	2	1	0	2	NA	1	0	2	2	1
"16"	2	2	2	2	2	2	2	2	2	1	0	2	2	1	2	2	2	1	2	1
"17"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
"18"	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1
"19"	1	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1
"20"	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	0	2	2	2	1
"21"	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1
"22"	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	1	1
"23"	2	2	2	2	0	1	1	2	1	1	2	1	2	1	1	0	0	0	2	1
"24"	2	2	2	2	2	1	1	2	2	2	1	1	2	1	2	1	1	1	1	1
"25"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
